日常            Idle 
悲伤            Sad
开心            Smile
沮丧            Depressed
激动            Excited
吃惊            Amazed
腹黑            Scheming
害怕            Afraid
委屈            Aggrieved
卖萌            Cute
担心            Worry
厌恶            Disgusted
心烦            Upset
生气            Angry
困倦            Sleepy
得意            Smug
疑惑            Confused
惭愧            Ashamed
鄙视            Despise
沉思            Pensive
期待            Hopeful
钦佩            Admiring
羞涩            Embarassed
调皮            Mischievous
严肃            Serious
无奈            Helpless
焦虑            Nerous
难受            Uncomfortable
心不在焉     Distracted
