skill1=11       解锁A游戏的B技能     A为小游戏种类，1备课，2自习，3活动，B为第几个技能

skill2=21      学生好感度达到第A阶段就解锁其档案界面的切换按钮，-1为任意

skill3=22      备课游戏神秘格子出现A效果的几率增加B%，其余效果减少B%        1 随机生成一个道具、额外获得5步、重置冷却cd

skill4=23       赠送道具额外获得A点好感度

skill5=24       未使用的金币在每回合开始时获得A%的利息

skill6=25       玩家格子被道具波及后会储存A次该效果

skill7=26       时效性道具持续时间增加A个回合

skill8=27       备课小游戏结束时自动消除的分数按A%计算

skill9=31       活动游戏中特殊加分点出现的几率增加A%

skill10=32     商店的商品打A折

skill11=33     漏消只降低A点积分条

skill12=34     开导压力大于等于A的学生将额外降低B点压力

skill13=35     每回合结算时所有学生额外获得A点好感度

skill14=36     解锁编号A以后的所有道具

skill15=37     每回合结算时所有角色额外降低A点压力

skill16=41     自习游戏空钩后视线收回速度增加A%

skill17=42     自习游戏老师视线长度增加A

skill18=43     干扰气泡移动速度降为原来的A%

skill19=44     辅导游戏答对后额外获得A分

skill20=45     所有学生考试失常的几率降低A%

skill21=46     好感度达到第A阶段的学生其弱势科目的成绩提升增加B%。A为好感度剧情进度，-1为任意

skill22=47     自习游戏专心度大于等于A时就按100转换

skill23=51     初始精力上限为A

skill24=52     精力上限增加A

skill25=53     备课游戏初始步数加A

skill26=54     自习游戏时间增加A秒

skill27=55     活动游戏时间增加A秒

skill28=56     所有技能冷却降低A%（结果四舍五入）














